SAMPLE ID,RAINFALL,PRESSURE ,TEMPERATURE,DEWPOINT,HUMIDITY,CLOUD ,SUNSHINE,         WIND DIRECTION,WIND SPEED
1,1,1025.9,64.94,13.1,72,49,9.3,80.0,26.3
2,1,1022.0,66.02,15.6,81,83,0.6,50.0,15.3
3,1,1019.7,66.74000000000001,18.4,95,91,0.0,40.0,14.2
4,1,1018.9,69.08,18.8,90,88,1.0,50.0,16.9
5,1,1015.9,69.25999999999999,19.9,95,81,0.0,40.0,13.7
6,1,1018.8,69.62,18.0,84,51,7.7,20.0,14.5
7,0,1021.8,65.84,15.0,79,56,3.4,30.0,21.5
8,0,1020.8,65.12,14.4,78,28,7.7,60.0,14.3
9,0,1020.6,64.58,14.3,78,79,3.3,70.0,39.3
10,1,1017.5,64.4,15.5,85,91,0.0,70.0,37.7
11,1,1016.5,64.58,16.4,90,90,2.1,40.0,23.3
12,0,1019.9,63.14,13.7,79,86,0.6,20.0,23.9
13,0,1020.8,60.980000000000004,12.1,77,34,9.1,30.0,24.4
14,1,1019.3,61.7,12.9,79,81,1.5,60.0,33.2
15,1,1015.4,59.18,14.6,97,97,0.0,50.0,37.5
16,1,1013.5,61.519999999999996,15.6,95,93,0.0,60.0,40.0
17,1,1011.5,64.04,16.1,90,79,1.6,20.0,23.4
18,0,1017.1,59.36,11.1,76,49,3.9,50.0,28.4
19,0,1020.1,61.519999999999996,12.5,78,84,1.0,60.0,38.0
20,1,1019.6,59.9,13.9,90,92,0.0,70.0,50.6
21,1,1017.7,60.980000000000004,15.3,95,100,0.0,50.0,26.2
22,1,1018.9,57.379999999999995,12.9,92,100,0.0,50.0,35.3
23,1,1027.1,47.3,3.4,70,95,0.0,20.0,55.5
24,1,1034.6,40.82,2.2,61,96,0.0,20.0,59.5
25,0,1032.6,45.32,3.7,46,25,10.1,20.0,28.7
26,1,1027.1,50.72,2.5,59,85,0.4,20.0,21.3
27,1,1022.7,55.4,11.6,92,95,0.2,20.0,29.6
28,1,1018.2,60.980000000000004,15.7,98,100,0.0,60.0,28.8
29,1,1017.9,61.88,15.9,96,91,0.2,50.0,25.0
30,0,1020.0,63.68,15.5,88,80,3.3,50.0,21.2
31,1,1019.9,60.26,13.4,86,93,0.1,70.0,43.1
32,1,1022.2,54.32,11.2,93,96,0.0,20.0,31.9
33,1,1024.4,50.72,6.8,79,94,0.0,10.0,27.3
34,1,1023.6,54.5,8.6,77,88,0.3,40.0,21.3
35,0,1021.8,59.36,10.9,76,45,9.2,40.0,9.1
36,0,1021.2,58.64,8.4,66,18,10.1,20.0,24.4
37,0,1024.9,56.48,0.3,39,13,10.2,20.0,44.7
38,0,1026.1,56.66,1.7,36,2,10.2,20.0,20.5
39,0,1023.9,58.64,4.3,52,0,10.2,40.0,16.7
40,0,1020.8,62.059999999999995,7.2,54,29,10.2,40.0,17.2
41,1,1017.5,61.88,9.8,64,77,0.1,40.0,22.0
42,1,1014.9,65.84,16.4,86,80,2.4,40.0,15.8
43,1,1013.4,66.56,18.5,95,86,0.6,30.0,13.9
44,0,1012.5,73.58,21.1,89,76,3.5,200.0,10.2
45,1,1014.8,71.06,18.1,81,82,3.9,20.0,15.3
46,1,1024.3,55.76,6.6,64,88,0.0,20.0,33.5
47,0,1025.4,55.04,6.0,63,89,0.7,20.0,23.5
48,1,1024.1,55.22,8.9,77,91,0.0,20.0,19.2
49,1,1021.9,56.66,11.8,89,95,0.0,40.0,18.6
50,1,1020.3,59.540000000000006,13.3,88,94,0.0,40.0,22.2
51,1,1023.2,60.8,9.6,67,55,5.9,20.0,23.9
52,1,1022.2,59.0,11.0,77,82,0.0,70.0,44.7
53,1,1020.6,60.980000000000004,14.7,91,88,0.3,50.0,24.4
54,1,1022.3,59.9,14.3,92,88,0.0,20.0,19.3
55,1,1027.5,56.66,10.0,78,88,0.0,20.0,28.0
56,0,1028.9,58.64,10.5,76,87,0.1,20.0,20.4
57,1,1027.4,59.36,11.6,79,88,0.2,30.0,15.2
58,1,1024.7,59.9,11.7,79,79,5.0,20.0,9.1
59,0,1023.8,61.88,11.5,72,49,9.5,20.0,9.2
60,0,1024.4,65.3,10.1,61,19,10.7,40.0,16.9
61,0,1024.7,61.7,11.5,73,43,9.9,70.0,34.2
62,0,1023.8,61.88,11.4,72,32,10.6,60.0,27.1
63,0,1020.9,65.66,14.0,75,46,10.0,40.0,14.7
64,0,1018.1,68.36,16.9,82,71,3.0,40.0,15.4
65,1,1016.7,69.44,16.9,79,83,0.5,30.0,13.3
66,0,1015.8,71.24000000000001,18.0,79,72,7.6,220.0,6.6
67,1,1014.9,67.46,18.2,91,76,0.0,40.0,13.8
68,0,1012.5,68.18,18.9,93,88,0.3,40.0,15.3
69,1,1012.5,69.44,19.9,95,88,0.6,50.0,15.1
70,1,1019.5,56.120000000000005,12.2,93,93,0.0,20.0,39.7
71,1,1022.6,53.42,8.0,77,93,0.0,20.0,25.0
72,1,1017.7,56.48,11.4,87,100,0.0,50.0,36.0
73,1,1014.5,60.440000000000005,15.1,96,99,0.0,50.0,22.8
74,1,1018.0,59.540000000000006,12.4,83,89,1.1,20.0,26.7
75,1,1017.1,58.64,11.1,79,94,0.0,70.0,38.0
76,1,1015.0,59.540000000000006,13.6,90,100,0.0,60.0,33.2
77,1,1014.3,61.7,16.0,97,97,0.0,50.0,26.5
78,1,1012.0,67.1,19.0,97,92,0.1,30.0,13.1
79,1,1013.0,72.32,21.4,94,85,1.5,40.0,12.5
80,1,1014.7,66.2,17.4,91,96,0.0,50.0,28.0
81,1,1014.8,62.78,16.3,95,95,0.1,60.0,38.3
82,1,1013.4,61.88,16.0,96,100,0.0,50.0,33.5
83,1,1012.8,65.12,18.0,97,95,0.6,40.0,22.0
84,1,1020.2,59.540000000000006,14.9,98,99,0.0,70.0,42.0
85,1,1023.9,56.66,9.2,75,88,0.2,20.0,19.4
86,0,1023.6,60.440000000000005,9.8,68,22,11.1,70.0,13.4
87,0,1024.1,63.14,8.4,58,19,11.1,30.0,14.6
88,0,1024.1,62.42,10.0,65,58,5.6,60.0,26.9
89,1,1021.4,63.86,9.6,59,74,2.4,50.0,20.5
90,1,1018.3,68.0,16.3,79,89,2.4,40.0,14.8
91,0,1015.3,70.7,18.9,86,83,6.1,50.0,4.5
92,0,1014.5,71.42,19.5,86,83,3.6,50.0,8.3
93,1,1015.6,70.34,19.6,90,81,1.5,40.0,14.5
94,0,1014.6,73.4,20.7,87,88,2.3,50.0,9.2
95,1,1012.5,74.48,21.4,88,84,2.2,120.0,8.0
96,1,1013.3,72.14,20.8,91,78,1.0,40.0,14.8
97,0,1013.3,73.58,21.6,91,83,6.9,70.0,20.0
98,0,1013.2,75.02,22.3,91,84,1.8,40.0,10.0
99,1,1013.3,77.54,22.9,87,84,2.5,40.0,9.1
100,1,1011.6,78.25999999999999,23.2,86,88,1.2,200.0,17.3
101,1,1009.2,73.94,21.9,92,93,0.0,190.0,20.5
102,1,1010.1,70.7,19.9,91,89,0.0,70.0,31.8
103,1,1009.1,68.54,19.3,94,88,0.0,70.0,29.8
104,1,1005.5,71.24000000000001,21.6,98,93,0.0,40.0,14.5
105,1,1008.5,73.58,22.8,98,88,0.0,30.0,11.2
106,1,1011.4,69.98,20.6,97,88,0.0,30.0,20.0
107,1,1010.5,76.46,22.7,89,81,3.5,210.0,15.3
108,1,1010.9,78.62,24.2,90,86,1.1,190.0,16.0
109,1,1014.4,73.58,20.8,87,81,1.2,80.0,19.6
110,1,1017.4,68.9,18.1,86,88,0.0,70.0,35.3
111,1,1014.6,70.88,19.5,88,89,0.2,40.0,20.9
112,1,1012.5,76.28,22.3,87,80,4.8,30.0,7.3
113,1,1010.7,74.66,22.0,90,81,1.0,300.0,11.1
114,1,1008.2,76.82,22.8,88,81,0.3,240.0,13.0
115,1,1008.7,75.92,23.2,93,84,1.4,190.0,8.5
116,1,1009.8,78.8,24.3,90,83,3.1,180.0,13.0
117,1,1009.5,80.96,24.5,86,87,1.3,200.0,24.2
118,1,1008.2,80.24000000000001,24.0,85,83,3.6,230.0,20.2
119,1,1010.4,78.8,23.0,84,78,4.6,50.0,12.5
120,1,1013.9,75.38,19.6,76,68,6.0,90.0,30.5
121,1,1012.2,72.5,18.7,80,89,0.3,60.0,27.0
122,1,1011.5,71.96,20.9,92,90,0.5,50.0,23.7
123,1,1011.0,78.08,23.6,89,82,2.0,50.0,11.1
124,1,1011.4,79.7,23.9,86,84,3.1,220.0,11.8
